longitude,latitude,M13_log
59.024555,-34.278206,-0.6533651609996125
59.041336,-34.280895,-0.6502611884010344
59.04974,-34.282238,-0.6502611884010344
59.05814,-34.283585,-0.6533651609996125
59.06654,-34.284927,-0.6533651609996125
59.07492,-34.28627,-0.6533651609996125
59.083317,-34.28761,-0.6502611884010344
59.108513,-34.29163,-0.6533651609996125
59.17564,-34.302315,-0.6533651609996125
59.192406,-34.30498,-0.6533651609996125
55.081837,-33.581303,-0.6533651609996125
55.10312,-33.58548,-0.6533651609996125
55.22981,-33.61031,-0.6502611884010344
55.32379,-33.62862,-0.6502611884010344
55.880432,-33.735424,-0.6533651609996125
55.998196,-33.757664,-0.6533651609996125
56.17268,-33.790367,-0.6533651609996125
56.182293,-33.79216,-0.6502611884010344
56.191906,-33.793945,-0.6533651609996125
56.230267,-33.801098,-0.6502611884010344
56.23984,-33.80288,-0.6533651609996125
56.25897,-33.806442,-0.6533651609996125
56.268524,-33.808205,-0.6533651609996125
56.278057,-33.809982,-0.6533651609996125
56.287598,-33.811745,-0.6533651609996125
56.297127,-33.81352,-0.6533651609996125
56.306652,-33.815285,-0.6533651609996125
56.316154,-33.817047,-0.6471668206428753
56.325672,-33.818806,-0.6533651609996125
56.335175,-33.820568,-0.6533651609996125
56.35416,-33.824085,-0.6502611884010344
56.363632,-33.825836,-0.6502611884010344
56.373108,-33.827583,-0.6502611884010344
56.382565,-33.829334,-0.6533651609996125
56.429787,-33.838043,-0.6471668206428753
56.439224,-33.839783,-0.6533651609996125
56.448647,-33.841515,-0.6533651609996125
56.45805,-33.843243,-0.6502611884010344
56.467457,-33.844975,-0.6471668206428753
56.495617,-33.85016,-0.6533651609996125
56.50499,-33.851868,-0.6471668206428753
56.51436,-33.853596,-0.6471668206428753
56.523716,-33.855312,-0.6471668206428753
56.533077,-33.857025,-0.6471668206428753
56.542416,-33.85874,-0.6502611884010344
56.55177,-33.86045,-0.6471668206428753
56.58908,-33.867283,-0.6502611884010344
56.672646,-33.882523,-0.6533651609996125
56.709637,-33.889244,-0.6502611884010344
56.82,-33.909237,-0.6440819984665913
56.829163,-33.9109,-0.6348842210042397
56.838326,-33.912544,-0.6348842210042397
56.84746,-33.9142,-0.6318369994044779
56.856598,-33.91586,-0.6318369994044779
56.865746,-33.9175,-0.6318369994044779
56.874874,-33.919147,-0.6348842210042397
56.884003,-33.920788,-0.6348842210042397
56.893124,-33.922424,-0.6318369994044779
56.902237,-33.924072,-0.6379407565523733
56.911343,-33.92571,-0.6348842210042397
56.92045,-33.927345,-0.6379407565523733
56.929546,-33.928978,-0.6379407565523733
56.938644,-33.930607,-0.6348842210042397
56.947735,-33.932243,-0.6318369994044779
56.95681,-33.93387,-0.6379407565523733
56.965897,-33.935493,-0.6348842210042397
56.974957,-33.937122,-0.6318369994044779
56.98403,-33.938747,-0.6379407565523733
56.993088,-33.94038,-0.6379407565523733
57.00214,-33.941998,-0.6318369994044779
57.01119,-33.943607,-0.6318369994044779
57.020245,-33.945225,-0.6379407565523733
57.02928,-33.94684,-0.6410066631603596
57.03832,-33.948456,-0.6410066631603596
57.04734,-33.950073,-0.6471668206428753
57.431126,-34.01793,-0.6379407565523733
57.439957,-34.019466,-0.6379407565523733
57.466404,-34.024086,-0.6318369994044779
57.475224,-34.025627,-0.6379407565523733
57.484028,-34.02716,-0.6318369994044779
57.492825,-34.028698,-0.6410066631603596
57.510426,-34.031765,-0.6348842210042397
57.519203,-34.033302,-0.6379407565523733
